text,label,tokens,num_tokens,unique_tokens,lexical_density,clean_text,tokens_clean,num_tokens_clean,unique_tokens_clean,lexical_density_clean
When was Ozzy Osbourne born ?,5,"['when', 'was', 'ozzy', 'osbourne', 'born']",5,5,1.0,ozzy osbourne bear,"['ozzy', 'osbourne', 'bear']",3,3,1.0
Why do heavier objects travel downhill faster ?,0,"['why', 'do', 'heavier', 'objects', 'travel', 'downhill', 'faster']",7,7,1.0,heavy object travel downhill fast,"['heavy', 'object', 'travel', 'downhill', 'fast']",5,5,1.0
Who was The Pride of the Yankees ?,3,"['who', 'was', 'the', 'pride', 'of', 'the', 'yankees']",7,6,0.8571428571428571,pride yankees,"['pride', 'yankees']",2,2,1.0
Who killed Gandhi ?,3,"['who', 'killed', 'gandhi']",3,3,1.0,kill gandhi,"['kill', 'gandhi']",2,2,1.0
What is considered the costliest disaster the insurance industry has ever faced ?,1,"['what', 'is', 'considered', 'the', 'costliest', 'disaster', 'the', 'insurance', 'industry', 'has', 'ever', 'faced']",12,11,0.9166666666666666,consider costly disaster insurance industry face,"['consider', 'costly', 'disaster', 'insurance', 'industry', 'face']",6,6,1.0
What sprawling U.S. state boasts the most airports ?,4,"['what', 'sprawling', 'u', 's', 'state', 'boasts', 'the', 'most', 'airports']",9,9,1.0,sprawl state boast airport,"['sprawl', 'state', 'boast', 'airport']",4,4,1.0
What did the only repealed amendment to the U.S. Constitution deal with ?,0,"['what', 'did', 'the', 'only', 'repealed', 'amendment', 'to', 'the', 'u', 's', 'constitution', 'deal', 'with']",13,12,0.9230769230769231,repeal amendment constitution deal,"['repeal', 'amendment', 'constitution', 'deal']",4,4,1.0
How many Jews were executed in concentration camps during WWII ?,5,"['how', 'many', 'jews', 'were', 'executed', 'in', 'concentration', 'camps', 'during', 'wwii']",10,10,1.0,jews execute concentration camp wwii,"['jews', 'execute', 'concentration', 'camp', 'wwii']",5,5,1.0
What is `` Nine Inch Nails '' ?,0,"['what', 'is', 'nine', 'inch', 'nails']",5,5,1.0,inch nail,"['inch', 'nail']",2,2,1.0
What is an annotated bibliography ?,0,"['what', 'is', 'an', 'annotated', 'bibliography']",5,5,1.0,annotate bibliography,"['annotate', 'bibliography']",2,2,1.0
What is the date of Boxing Day ?,5,"['what', 'is', 'the', 'date', 'of', 'boxing', 'day']",7,7,1.0,date boxing day,"['date', 'boxing', 'day']",3,3,1.0
What articles of clothing are tokens in Monopoly ?,1,"['what', 'articles', 'of', 'clothing', 'are', 'tokens', 'in', 'monopoly']",8,8,1.0,article clothing token monopoly,"['article', 'clothing', 'token', 'monopoly']",4,4,1.0
Name 11 famous martyrs .,3,"['name', '11', 'famous', 'martyrs']",4,4,1.0,famous martyr,"['famous', 'martyr']",2,2,1.0
What 's the Olympic motto ?,0,"['what', 's', 'the', 'olympic', 'motto']",5,5,1.0,olympic motto,"['olympic', 'motto']",2,2,1.0
What is the origin of the name ` Scarlett ' ?,0,"['what', 'is', 'the', 'origin', 'of', 'the', 'name', 'scarlett']",8,7,0.875,origin scarlett,"['origin', 'scarlett']",2,2,1.0
What 's the second-most-used vowel in English ?,1,"['what', 's', 'the', 'second', 'most', 'used', 'vowel', 'in', 'english']",9,9,1.0,secondmostuse vowel english,"['secondmostuse', 'vowel', 'english']",3,3,1.0
Who was the inventor of silly putty ?,3,"['who', 'was', 'the', 'inventor', 'of', 'silly', 'putty']",7,7,1.0,inventor silly putty,"['inventor', 'silly', 'putty']",3,3,1.0
What is the highest waterfall in the United States ?,4,"['what', 'is', 'the', 'highest', 'waterfall', 'in', 'the', 'united', 'states']",9,8,0.8888888888888888,high waterfall united states,"['high', 'waterfall', 'united', 'states']",4,4,1.0
Name a golf course in Myrtle Beach .,1,"['name', 'a', 'golf', 'course', 'in', 'myrtle', 'beach']",7,7,1.0,golf course myrtle beach,"['golf', 'course', 'myrtle', 'beach']",4,4,1.0
Which two states enclose Chesapeake Bay ?,4,"['which', 'two', 'states', 'enclose', 'chesapeake', 'bay']",6,6,1.0,state enclose chesapeake bay,"['state', 'enclose', 'chesapeake', 'bay']",4,4,1.0
What does the abbreviation AIDS stand for ?,2,"['what', 'does', 'the', 'abbreviation', 'aids', 'stand', 'for']",7,7,1.0,abbreviation aid stand,"['abbreviation', 'aid', 'stand']",3,3,1.0
What does a spermologer collect ?,1,"['what', 'does', 'a', 'spermologer', 'collect']",5,5,1.0,spermologer collect,"['spermologer', 'collect']",2,2,1.0
How many points make up a perfect fivepin bowling score ?,5,"['how', 'many', 'points', 'make', 'up', 'a', 'perfect', 'fivepin', 'bowling', 'score']",10,10,1.0,point perfect fivepin bowl score,"['point', 'perfect', 'fivepin', 'bowl', 'score']",5,5,1.0
Which company that manufactures video-game hardware sells the `` super system '' ?,3,"['which', 'company', 'that', 'manufactures', 'video', 'game', 'hardware', 'sells', 'the', 'super', 'system']",11,11,1.0,company manufacture videogame hardware sell super system,"['company', 'manufacture', 'videogame', 'hardware', 'sell', 'super', 'system']",7,7,1.0
How many Community Chest cards are there in Monopoly ?,5,"['how', 'many', 'community', 'chest', 'cards', 'are', 'there', 'in', 'monopoly']",9,9,1.0,community chest card monopoly,"['community', 'chest', 'card', 'monopoly']",4,4,1.0
What do Mormons believe ?,0,"['what', 'do', 'mormons', 'believe']",4,4,1.0,mormon believe,"['mormon', 'believe']",2,2,1.0
When did the neanderthal man live ?,5,"['when', 'did', 'the', 'neanderthal', 'man', 'live']",6,6,1.0,neanderthal man live,"['neanderthal', 'man', 'live']",3,3,1.0
In what religion was Isis the nature goddess ?,1,"['in', 'what', 'religion', 'was', 'isis', 'the', 'nature', 'goddess']",8,8,1.0,religion isis nature goddess,"['religion', 'isis', 'nature', 'goddess']",4,4,1.0
Where do the adventures of `` The Swiss Family Robinson '' take place ?,4,"['where', 'do', 'the', 'adventures', 'of', 'the', 'swiss', 'family', 'robinson', 'take', 'place']",11,10,0.9090909090909091,adventure swiss family robinson place,"['adventure', 'swiss', 'family', 'robinson', 'place']",5,5,1.0
What relative of the racoon is sometimes known as the cat-bear ?,1,"['what', 'relative', 'of', 'the', 'racoon', 'is', 'sometimes', 'known', 'as', 'the', 'cat', 'bear']",12,11,0.9166666666666666,relative racoon know catbear,"['relative', 'racoon', 'know', 'catbear']",4,4,1.0
How can I register my website in Yahoo for free ?,0,"['how', 'can', 'i', 'register', 'my', 'website', 'in', 'yahoo', 'for', 'free']",10,10,1.0,register website yahoo free,"['register', 'website', 'yahoo', 'free']",4,4,1.0
What was cash-conscious Colonel Edwin L. Drake the first to drill ?,1,"['what', 'was', 'cash', 'conscious', 'colonel', 'edwin', 'l', 'drake', 'the', 'first', 'to', 'drill']",12,12,1.0,cashconscious colonel edwin drake drill,"['cashconscious', 'colonel', 'edwin', 'drake', 'drill']",5,5,1.0
How many people in the world speak French ?,5,"['how', 'many', 'people', 'in', 'the', 'world', 'speak', 'french']",8,8,1.0,people world speak french,"['people', 'world', 'speak', 'french']",4,4,1.0
How many inches over six feet is the Venus de Milo ?,5,"['how', 'many', 'inches', 'over', 'six', 'feet', 'is', 'the', 'venus', 'de', 'milo']",11,11,1.0,inch foot venus milo,"['inch', 'foot', 'venus', 'milo']",4,4,1.0
How do they find or choose witnesses to an execution ?,0,"['how', 'do', 'they', 'find', 'or', 'choose', 'witnesses', 'to', 'an', 'execution']",10,10,1.0,find choose witness execution,"['find', 'choose', 'witness', 'execution']",4,4,1.0
What 1920s cowboy star rode Tony the Wonder Horse ?,3,"['what', '1920s', 'cowboy', 'star', 'rode', 'tony', 'the', 'wonder', 'horse']",9,9,1.0,cowboy star ride tony wonder horse,"['cowboy', 'star', 'ride', 'tony', 'wonder', 'horse']",6,6,1.0
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,1,"['what', 'cocktail', 'inspired', 'john', 'doxat', 'to', 'write', 'the', 'book', 'stirred', 'not', 'shaken']",12,12,1.0,cocktail inspire john doxat write book stirrednot shake,"['cocktail', 'inspire', 'john', 'doxat', 'write', 'book', 'stirrednot', 'shake']",8,8,1.0
What ISPs exist in the Caribbean ?,3,"['what', 'isps', 'exist', 'in', 'the', 'caribbean']",6,6,1.0,isp exist caribbean,"['isp', 'exist', 'caribbean']",3,3,1.0
How do you ask a total stranger out on a date ?,0,"['how', 'do', 'you', 'ask', 'a', 'total', 'stranger', 'out', 'on', 'a', 'date']",11,10,0.9090909090909091,ask total stranger date,"['ask', 'total', 'stranger', 'date']",4,4,1.0
What weapon is the mythological character Apollo most proficient with ?,1,"['what', 'weapon', 'is', 'the', 'mythological', 'character', 'apollo', 'most', 'proficient', 'with']",10,10,1.0,weapon mythological character apollo proficient,"['weapon', 'mythological', 'character', 'apollo', 'proficient']",5,5,1.0
What country do the Galapagos Islands belong to ?,4,"['what', 'country', 'do', 'the', 'galapagos', 'islands', 'belong', 'to']",8,8,1.0,country galapagos island belong,"['country', 'galapagos', 'island', 'belong']",4,4,1.0
What is ethology ?,0,"['what', 'is', 'ethology']",3,3,1.0,ethology,['ethology'],1,1,1.0
Who was the prophet of the Muslim people ?,3,"['who', 'was', 'the', 'prophet', 'of', 'the', 'muslim', 'people']",8,7,0.875,prophet muslim people,"['prophet', 'muslim', 'people']",3,3,1.0
Where did the term `` 86ed '' come from ?,0,"['where', 'did', 'the', 'term', '86ed', 'come', 'from']",7,7,1.0,term come,"['term', 'come']",2,2,1.0
Who is Snoopy 's arch-enemy ?,3,"['who', 'is', 'snoopy', 's', 'arch', 'enemy']",6,6,1.0,snoopy archenemy,"['snoopy', 'archenemy']",2,2,1.0
What is the nature of learning ?,0,"['what', 'is', 'the', 'nature', 'of', 'learning']",6,6,1.0,nature learn,"['nature', 'learn']",2,2,1.0
What 's the only color Johnny Cash wears on stage ?,1,"['what', 's', 'the', 'only', 'color', 'johnny', 'cash', 'wears', 'on', 'stage']",10,10,1.0,color johnny cash wear stage,"['color', 'johnny', 'cash', 'wear', 'stage']",5,5,1.0
What 's the term for a young fox ?,1,"['what', 's', 'the', 'term', 'for', 'a', 'young', 'fox']",8,8,1.0,term young fox,"['term', 'young', 'fox']",3,3,1.0
What U.S. state lived under six flags ?,4,"['what', 'u', 's', 'state', 'lived', 'under', 'six', 'flags']",8,8,1.0,state live flag,"['state', 'live', 'flag']",3,3,1.0
What is the Kashmir issue ?,0,"['what', 'is', 'the', 'kashmir', 'issue']",5,5,1.0,kashmir issue,"['kashmir', 'issue']",2,2,1.0
Where is the Loop ?,4,"['where', 'is', 'the', 'loop']",4,4,1.0,loop,['loop'],1,1,1.0
What does `` extended definition '' mean and how would one write a paper on it ?,0,"['what', 'does', 'extended', 'definition', 'mean', 'and', 'how', 'would', 'one', 'write', 'a', 'paper', 'on', 'it']",14,14,1.0,extend definition mean write paper,"['extend', 'definition', 'mean', 'write', 'paper']",5,5,1.0
What country 's capital is Tirana ?,4,"['what', 'country', 's', 'capital', 'is', 'tirana']",6,6,1.0,country capital tirana,"['country', 'capital', 'tirana']",3,3,1.0
What is titanium ?,0,"['what', 'is', 'titanium']",3,3,1.0,titanium,['titanium'],1,1,1.0
Who do Herb and Tootsie live next door to ?,3,"['who', 'do', 'herb', 'and', 'tootsie', 'live', 'next', 'door', 'to']",9,9,1.0,herb tootsie live door,"['herb', 'tootsie', 'live', 'door']",4,4,1.0
Which city has the oldest relationship as a sistercity with Los Angeles ?,4,"['which', 'city', 'has', 'the', 'oldest', 'relationship', 'as', 'a', 'sistercity', 'with', 'los', 'angeles']",12,12,1.0,city old relationship sistercity los angeles,"['city', 'old', 'relationship', 'sistercity', 'los', 'angeles']",6,6,1.0
What is a caldera ?,0,"['what', 'is', 'a', 'caldera']",4,4,1.0,caldera,['caldera'],1,1,1.0
Why do people get calluses ?,0,"['why', 'do', 'people', 'get', 'calluses']",5,5,1.0,people callus,"['people', 'callus']",2,2,1.0
What are the names of the tourist attractions in Reims ?,4,"['what', 'are', 'the', 'names', 'of', 'the', 'tourist', 'attractions', 'in', 'reims']",10,9,0.9,name tourist attraction reim,"['name', 'tourist', 'attraction', 'reim']",4,4,1.0
What are Cushman and Wakefield known for ?,0,"['what', 'are', 'cushman', 'and', 'wakefield', 'known', 'for']",7,7,1.0,cushman wakefield know,"['cushman', 'wakefield', 'know']",3,3,1.0
What body of water does the Danube River flow into ?,4,"['what', 'body', 'of', 'water', 'does', 'the', 'danube', 'river', 'flow', 'into']",10,10,1.0,body water danube river flow,"['body', 'water', 'danube', 'river', 'flow']",5,5,1.0
Who is the founder of Scientology ?,3,"['who', 'is', 'the', 'founder', 'of', 'scientology']",6,6,1.0,founder scientology,"['founder', 'scientology']",2,2,1.0
What does the six-footed Musca domestica become when it enters a house ?,1,"['what', 'does', 'the', 'six', 'footed', 'musca', 'domestica', 'become', 'when', 'it', 'enters', 'a', 'house']",13,13,1.0,sixfoote musca domestica enter house,"['sixfoote', 'musca', 'domestica', 'enter', 'house']",5,5,1.0
What is the history of skateboarding ?,0,"['what', 'is', 'the', 'history', 'of', 'skateboarding']",6,6,1.0,history skateboard,"['history', 'skateboard']",2,2,1.0
Who starred in Singing in the Rain and The Singing Nun ?,3,"['who', 'starred', 'in', 'singing', 'in', 'the', 'rain', 'and', 'the', 'singing', 'nun']",11,8,0.7272727272727273,star singing rain singing nun,"['star', 'singing', 'rain', 'singing', 'nun']",5,4,0.8
How do I make fuel bricks from recycled newspaper ?,0,"['how', 'do', 'i', 'make', 'fuel', 'bricks', 'from', 'recycled', 'newspaper']",9,9,1.0,fuel brick recycle newspaper,"['fuel', 'brick', 'recycle', 'newspaper']",4,4,1.0
What 19th-century painter died in the Marquesas Islands ?,3,"['what', '19th', 'century', 'painter', 'died', 'in', 'the', 'marquesas', 'islands']",9,9,1.0,painter die marquesas island,"['painter', 'die', 'marquesas', 'island']",4,4,1.0
The corpus callosum is in what part of the body ?,1,"['the', 'corpus', 'callosum', 'is', 'in', 'what', 'part', 'of', 'the', 'body']",10,9,0.9,corpus callosum body,"['corpus', 'callosum', 'body']",3,3,1.0
How do I log on to home page at Headquarters U.S. European Command ?,0,"['how', 'do', 'i', 'log', 'on', 'to', 'home', 'page', 'at', 'headquarters', 'u', 's', 'european', 'command']",14,14,1.0,log home page headquarters european command,"['log', 'home', 'page', 'headquarters', 'european', 'command']",6,6,1.0
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",4,"['what', 'country', 'did', 'the', 'nazis', 'occupy', 'for', '1', 'cd', 'nns', 'in', 'nnp', 'nnp', 'nnp']",14,12,0.8571428571428571,country nazi occupy nns nnp nnp nnp,"['country', 'nazi', 'occupy', 'nns', 'nnp', 'nnp', 'nnp']",7,5,0.7142857142857143
What is Nebraska 's most valuable resource ?,1,"['what', 'is', 'nebraska', 's', 'most', 'valuable', 'resource']",7,7,1.0,nebraska valuable resource,"['nebraska', 'valuable', 'resource']",3,3,1.0
How many species of the Great White shark are there ?,5,"['how', 'many', 'species', 'of', 'the', 'great', 'white', 'shark', 'are', 'there']",10,10,1.0,specie great white shark,"['specie', 'great', 'white', 'shark']",4,4,1.0
What is the origin of head lice ?,0,"['what', 'is', 'the', 'origin', 'of', 'head', 'lice']",7,7,1.0,origin head lice,"['origin', 'head', 'lice']",3,3,1.0
What is the nickname for the state of Mississippi ?,4,"['what', 'is', 'the', 'nickname', 'for', 'the', 'state', 'of', 'mississippi']",9,8,0.8888888888888888,nickname state mississippi,"['nickname', 'state', 'mississippi']",3,3,1.0
What was the first domesticated bird ?,1,"['what', 'was', 'the', 'first', 'domesticated', 'bird']",6,6,1.0,domesticate bird,"['domesticate', 'bird']",2,2,1.0
How many villi are found in the small intestine ?,5,"['how', 'many', 'villi', 'are', 'found', 'in', 'the', 'small', 'intestine']",9,9,1.0,villi find small intestine,"['villi', 'find', 'small', 'intestine']",4,4,1.0
What country did King Wenceslas rule ?,4,"['what', 'country', 'did', 'king', 'wenceslas', 'rule']",6,6,1.0,country king wenceslas rule,"['country', 'king', 'wenceslas', 'rule']",4,4,1.0
What is a fear of shadows ?,1,"['what', 'is', 'a', 'fear', 'of', 'shadows']",6,6,1.0,fear shadow,"['fear', 'shadow']",2,2,1.0
Who were the five Marx brothers ?,3,"['who', 'were', 'the', 'five', 'marx', 'brothers']",6,6,1.0,marx brother,"['marx', 'brother']",2,2,1.0
In which year was New Zealand excluded from the ANZUS alliance ?,5,"['in', 'which', 'year', 'was', 'new', 'zealand', 'excluded', 'from', 'the', 'anzus', 'alliance']",11,11,1.0,year new zealand exclude anzus alliance,"['year', 'new', 'zealand', 'exclude', 'anzus', 'alliance']",6,6,1.0
When did CNN begin broadcasting ?,5,"['when', 'did', 'cnn', 'begin', 'broadcasting']",5,5,1.0,cnn begin broadcast,"['cnn', 'begin', 'broadcast']",3,3,1.0
What causes the body to shiver in cold temperatures ?,0,"['what', 'causes', 'the', 'body', 'to', 'shiver', 'in', 'cold', 'temperatures']",9,9,1.0,cause body shiver cold temperature,"['cause', 'body', 'shiver', 'cold', 'temperature']",5,5,1.0
What are bear and bull markets ?,0,"['what', 'are', 'bear', 'and', 'bull', 'markets']",6,6,1.0,bear bull market,"['bear', 'bull', 'market']",3,3,1.0
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,1,"['what', 'j', 'r', 'r', 'tolkien', 'book', 'features', 'bilbo', 'baggins', 'as', 'the', 'central', 'character']",13,12,0.9230769230769231,jrr tolkien book feature bilbo baggin central character,"['jrr', 'tolkien', 'book', 'feature', 'bilbo', 'baggin', 'central', 'character']",8,8,1.0
What is `` dew point '' ?,0,"['what', 'is', 'dew', 'point']",4,4,1.0,dew point,"['dew', 'point']",2,2,1.0
What is the meaning of Jesus ?,0,"['what', 'is', 'the', 'meaning', 'of', 'jesus']",6,6,1.0,mean jesus,"['mean', 'jesus']",2,2,1.0
What company 's logo is a `` W '' in a circle ?,3,"['what', 'company', 's', 'logo', 'is', 'a', 'w', 'in', 'a', 'circle']",10,9,0.9,company logo circle,"['company', 'logo', 'circle']",3,3,1.0
What is the definition of a cascade ?,0,"['what', 'is', 'the', 'definition', 'of', 'a', 'cascade']",7,7,1.0,definition cascade,"['definition', 'cascade']",2,2,1.0
When did Rococo painting and architecture flourish ?,5,"['when', 'did', 'rococo', 'painting', 'and', 'architecture', 'flourish']",7,7,1.0,rococo paint architecture flourish,"['rococo', 'paint', 'architecture', 'flourish']",4,4,1.0
What country 's national passenger rail system is called Via ?,4,"['what', 'country', 's', 'national', 'passenger', 'rail', 'system', 'is', 'called', 'via']",10,10,1.0,country national passenger rail system call,"['country', 'national', 'passenger', 'rail', 'system', 'call']",6,6,1.0
Who invented Make-up ?,3,"['who', 'invented', 'make', 'up']",4,4,1.0,invent makeup,"['invent', 'makeup']",2,2,1.0
What is the origin of the word `` attic '' ?,0,"['what', 'is', 'the', 'origin', 'of', 'the', 'word', 'attic']",8,7,0.875,origin word attic,"['origin', 'word', 'attic']",3,3,1.0
What did Delilah do to Samson 's hair ?,0,"['what', 'did', 'delilah', 'do', 'to', 'samson', 's', 'hair']",8,8,1.0,delilah samson hair,"['delilah', 'samson', 'hair']",3,3,1.0
What kind of animals were in the Paleozoic era ?,1,"['what', 'kind', 'of', 'animals', 'were', 'in', 'the', 'paleozoic', 'era']",9,9,1.0,kind animal paleozoic era,"['kind', 'animal', 'paleozoic', 'era']",4,4,1.0
Which of the following was Rhodes Scholar ?,3,"['which', 'of', 'the', 'following', 'was', 'rhodes', 'scholar']",7,7,1.0,follow rhode scholar,"['follow', 'rhode', 'scholar']",3,3,1.0
Who comprised the now-defunct comic book team known as the Champions ?,3,"['who', 'comprised', 'the', 'now', 'defunct', 'comic', 'book', 'team', 'known', 'as', 'the', 'champions']",12,11,0.9166666666666666,comprise nowdefunct comic book team know champion,"['comprise', 'nowdefunct', 'comic', 'book', 'team', 'know', 'champion']",7,7,1.0
How do you make a paintball ?,0,"['how', 'do', 'you', 'make', 'a', 'paintball']",6,6,1.0,paintball,['paintball'],1,1,1.0
What U.S. state is Fort Knox in ?,4,"['what', 'u', 's', 'state', 'is', 'fort', 'knox', 'in']",8,8,1.0,state fort knox,"['state', 'fort', 'knox']",3,3,1.0
What is a female rabbit called ?,1,"['what', 'is', 'a', 'female', 'rabbit', 'called']",6,6,1.0,female rabbit call,"['female', 'rabbit', 'call']",3,3,1.0
Where is the highest point in Japan ?,4,"['where', 'is', 'the', 'highest', 'point', 'in', 'japan']",7,7,1.0,high point japan,"['high', 'point', 'japan']",3,3,1.0
Where do chihuahuas come from ?,0,"['where', 'do', 'chihuahuas', 'come', 'from']",5,5,1.0,chihuahuas come,"['chihuahuas', 'come']",2,2,1.0
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,4,"['where', 'does', 'barney', 'rubble', 'go', 'to', 'work', 'after', 'he', 'drops', 'fred', 'off', 'in', 'the', 'flintstones', 'cartoon', 'series']",17,17,1.0,barney rubble work drop fred flintstones cartoon series,"['barney', 'rubble', 'work', 'drop', 'fred', 'flintstones', 'cartoon', 'series']",8,8,1.0
What are the world 's four oceans ?,4,"['what', 'are', 'the', 'world', 's', 'four', 'oceans']",7,7,1.0,world ocean,"['world', 'ocean']",2,2,1.0
What 's the only work by Michelangelo that bears his signature ?,1,"['what', 's', 'the', 'only', 'work', 'by', 'michelangelo', 'that', 'bears', 'his', 'signature']",11,11,1.0,work michelangelo bear signature,"['work', 'michelangelo', 'bear', 'signature']",4,4,1.0
What is the largest snake in the world ?,1,"['what', 'is', 'the', 'largest', 'snake', 'in', 'the', 'world']",8,7,0.875,large snake world,"['large', 'snake', 'world']",3,3,1.0
In what medium is Stuart Hamblen considered to be the first singing cowboy ?,1,"['in', 'what', 'medium', 'is', 'stuart', 'hamblen', 'considered', 'to', 'be', 'the', 'first', 'singing', 'cowboy']",13,13,1.0,medium stuart hamblen consider singing cowboy,"['medium', 'stuart', 'hamblen', 'consider', 'singing', 'cowboy']",6,6,1.0
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,4,"['where', 'on', 'the', 'internet', 'can', 'i', 'find', 'a', 'song', 'lyrics', 'database', 'similar', 'to', 'the', 'international', 'lyrics', 'server']",17,15,0.8823529411764706,internet find song lyric database similar international lyric server,"['internet', 'find', 'song', 'lyric', 'database', 'similar', 'international', 'lyric', 'server']",9,8,0.8888888888888888
How much money does a back injury lawsuit get ?,5,"['how', 'much', 'money', 'does', 'a', 'back', 'injury', 'lawsuit', 'get']",9,9,1.0,money injury lawsuit,"['money', 'injury', 'lawsuit']",3,3,1.0
What 's the common name for acetylsalicylic acid ?,1,"['what', 's', 'the', 'common', 'name', 'for', 'acetylsalicylic', 'acid']",8,8,1.0,common acetylsalicylic acid,"['common', 'acetylsalicylic', 'acid']",3,3,1.0
What does the Georgetown `` Hoya '' mean ?,0,"['what', 'does', 'the', 'georgetown', 'hoya', 'mean']",6,6,1.0,georgetown hoya mean,"['georgetown', 'hoya', 'mean']",3,3,1.0
Where can I find a list of `` classic '' books 5th and 6th graders should read ?,4,"['where', 'can', 'i', 'find', 'a', 'list', 'of', 'classic', 'books', '5th', 'and', '6th', 'graders', 'should', 'read']",15,15,1.0,find list classic book grader read,"['find', 'list', 'classic', 'book', 'grader', 'read']",6,6,1.0
Which two products use a tiger as their symbol ?,1,"['which', 'two', 'products', 'use', 'a', 'tiger', 'as', 'their', 'symbol']",9,9,1.0,product use tiger symbol,"['product', 'use', 'tiger', 'symbol']",4,4,1.0
How is the election of a new Pope announced to the world ?,0,"['how', 'is', 'the', 'election', 'of', 'a', 'new', 'pope', 'announced', 'to', 'the', 'world']",12,11,0.9166666666666666,election new pope announce world,"['election', 'new', 'pope', 'announce', 'world']",5,5,1.0
How long does it take for your blood to make one complete trip through the body ?,5,"['how', 'long', 'does', 'it', 'take', 'for', 'your', 'blood', 'to', 'make', 'one', 'complete', 'trip', 'through', 'the', 'body']",16,16,1.0,long blood complete trip body,"['long', 'blood', 'complete', 'trip', 'body']",5,5,1.0
How do chickens have baby chicks ?,0,"['how', 'do', 'chickens', 'have', 'baby', 'chicks']",6,6,1.0,chicken baby chick,"['chicken', 'baby', 'chick']",3,3,1.0
What is the historical relationship of Catholic Church and bingo ?,0,"['what', 'is', 'the', 'historical', 'relationship', 'of', 'catholic', 'church', 'and', 'bingo']",10,10,1.0,historical relationship catholic church bingo,"['historical', 'relationship', 'catholic', 'church', 'bingo']",5,5,1.0
How was the element calcium named ?,0,"['how', 'was', 'the', 'element', 'calcium', 'named']",6,6,1.0,element calcium name,"['element', 'calcium', 'name']",3,3,1.0
What crooner joined The Andrews Sisters for Pistol Packin Mama ?,3,"['what', 'crooner', 'joined', 'the', 'andrews', 'sisters', 'for', 'pistol', 'packin', 'mama']",10,10,1.0,crooner join andrew sister pistol packin mama,"['crooner', 'join', 'andrew', 'sister', 'pistol', 'packin', 'mama']",7,7,1.0
What piano company claims its product is the `` Instrument of the immortals '' ?,3,"['what', 'piano', 'company', 'claims', 'its', 'product', 'is', 'the', 'instrument', 'of', 'the', 'immortals']",12,11,0.9166666666666666,piano company claim product instrument immortal,"['piano', 'company', 'claim', 'product', 'instrument', 'immortal']",6,6,1.0
When did the Bounty mutiny take place ?,5,"['when', 'did', 'the', 'bounty', 'mutiny', 'take', 'place']",7,7,1.0,bounty mutiny place,"['bounty', 'mutiny', 'place']",3,3,1.0
What novel inspired the movie BladeRunner ?,1,"['what', 'novel', 'inspired', 'the', 'movie', 'bladerunner']",6,6,1.0,novel inspire movie bladerunner,"['novel', 'inspire', 'movie', 'bladerunner']",4,4,1.0
