Label,Message,Word_count,Message_clean,Word_count_clean
ham,Lol your always so convincing.,5,lol convince,2
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,32,catch bus frying egg tea eat mom leave dinner feel love,11
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",15,amp packing car let know room,6
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,12,ahh work vaguely remember feel like lol,7
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",26,wait clear sure sarcastic want live,6
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,41,yeah get apologetic fallen actin like spoilt child get catch till badly cheer,13
ham,K tell me anything about you.,6,tell,1
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,17,fear fainting housework quick cuppa,5
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,29,thanks subscription ringtone mobile charge confirm reply yes reply charge,10
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,28,yup home look timing msg xuhui go learn lesson,9
ham,"Oops, I'll let you know when my roommate's done",9,oops let know roommate,4
ham,I see the letter B on my car,8,letter car,2
ham,Anything lor... U decide...,4,lor decide,2
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,30,hello saturday texting decide tomo try invite,7
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,17,pls ahead watt want sure great weekend abiola,8
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",34,forget tell want need crave love sweet arabian steed yummy,10
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,33,rodger burn msg try reply sm free nokia mobile free camcorder delivery tomorrow,13
ham,WHO ARE YOU SEEING?,4,see,1
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,13,great hope like man endow ltgt inch,7
ham,No calls..messages..missed calls,3,callsmessagesmisse call,2
ham,Didn't you get hep b immunisation in nigeria.,8,hep immunisation nigeria,3
ham,"Fair enough, anything going on?",5,fair go,2
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",14,yeah hopefully tyler maybe ask bit,6
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,30,know stubborn want hospital keep tell mark weak sucker hospital weak sucker,12
ham,What you thinked about me. First time you saw me in class.,12,think time see class,4
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",23,gram usually run like ltgt half eighth smart get second gram ltgt,12
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,16,fyi ride early tomorrow morning crash place tonight,8
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",55,wow realize embarassed accomodation think like well happy cave sorry sorry offer sorry room embarassing,15
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,22,sm sptv devil red wing play ice hockey correct incorrect end reply end sptv,14
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,13,know mallika sherawat yesterday find lturlgt,6
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",27,congrat year special cinema pass suprman etc free miss,9
ham,"Sorry, I'll call later in meeting.",6,sorry later meeting,3
ham,Tell where you reached,4,tell reach,2
ham,Yes..gauti and sehwag out of odi series.,7,sehwag odi series,3
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,23,pick burger way home pain killing,6
ham,Ha ha ha good joke. Girls are situation seekers.,9,good joke girl situation seeker,5
ham,Its a part of checking IQ,6,check,1
ham,"Sorry my roommates took forever, it ok if I come by now?",12,sorry roommate took forever come,5
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,24,lar double check wif hair dresser say wun cut short say cut look nice,14
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",28,value customer please advise follow recent review mob award bonus prize,11
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",23,today song dedicated day song dedicate send valuable frnd rply,10
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",22,urgent award complimentary trip eurodisinc trav claim txt dis,9
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",15,hear new divorce barbie come ken stuff,7
ham,I plane to give on this month end.,8,plane month end,3
ham,Wah lucky man... Then can save money... Hee...,8,wah lucky man save money hee,6
ham,Finished class where are you.,5,finished class,2
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,10,babe home wanna,3
ham,K..k:)where are you?how did you performed?,6,youhow perform,2
ham,U can call me now...,5,,0
ham,I am waiting machan. Call me once you free.,9,wait machan free,3
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,14,cool gentleman treat dignity respect,5
ham,I like you peoples very much:) but am very shy pa.,11,like people shy,3
ham,Does not operate after  &lt;#&gt;  or what,7,operate ltgt,2
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,16,look job ta earn,4
ham,"Sorry, I'll call later",4,sorry later,2
ham,K. Did you call me just now ah? ,8,,0
ham,Ok i am on the way to home hi hi,10,way home,2
ham,You will be in the place of that man,9,place man,2
ham,Yup next stop.,3,yup stop,2
ham,"I call you later, don't have network. If urgnt, sms me.",11,later network urgnt sm,4
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,26,real get need ticket jacket,5
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,31,yes start send request pain come bed double coin factory get cash nitro,13
ham,I'm really not up to it still tonight babe,9,tonight babe,2
ham,"Ela kano.,il download, come wen ur free..",7,download come wen free,4
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,10,yeah don‘t stand close tho catch,6
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,39,sorry pain meet night spend late afternoon casualty mean include time sheet sorry,13
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,26,smile pleasure smile pain smile trouble pour like rain smile hurt smile becoz loves smile,15
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,23,customer service representative guarantee cash prize,6
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,20,planning buy later check lido get afternoon finish work,9
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",29,free ringtone waiting collect simply text password mix verify usher britney fml box,13
ham,Watching telugu movie..wat abt u?,5,watch telugu moviewat abt,4
ham,i see. When we finish we have loads of loans to pay,12,finish load loan pay,4
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",38,hol yes bit run forget hairdresser appointment need home shower cause prob,12
ham,I see a cup of coffee animation,7,cup coffee animation,3
ham,Please don't text me anymore. I have nothing else to say.,11,text anymore,2
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,21,okay price long legal wen pick ave am,8
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,16,look car buy go drive test,6
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,request oru minnaminunginte set callertune caller press copy friend callertune,10
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",36,wow right mean guess give man change search location nyc change cuz signin page say,15
ham,Umma my life and vava umma love you lot dear,10,love lot dear,3
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,17,thank lot wish birthday thank make birthday truly memorable,9
ham,"Aight, I'll hit you up when I get some cash",10,aight hit cash,3
ham,How would my ip address test that considering my computer isn't a minecraft server,14,address test consider computer minecraft server,6
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,24,know grumpy old people mom like well lie play joke,10
ham,Dont worry. I guess he's busy.,6,worry guess busy,3
ham,What is the plural of the noun research?,8,plural noun research,3
ham,Going for dinner.msg you after.,5,go dinnermsg,2
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,24,wif cos like try new thing scared dun like mah cos say loud,13
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,27,gent try contact weekend draw show prize guarantee claim code valid,11
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",24,openin sentence formal fine juz weighthaha anythin special happen,9
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",32,enter cabin say happy bday boss feel special invite apartment go,11
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,27,winner specially select receive holiday flight inc speak live operator claim,11
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,12,goodo yes speak friday eggpotato ratio tortilla need,8
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,15,hmmmy uncle inform pay school directly pls buy food,9
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,20,private account statement show unredeemed bonus point claim identifi code expire,11
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",26,urgent mobile award bonus caller prize final try contact landline,10
ham,here is my new address -apples&pairs&all that malarky,8,new address applespairsall malarky,4
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,27,todays voda number end select receive award match quote claim code standard rate app,14
ham,I am going to sao mu today. Will be done only at 12 ,13,go sao today,3
ham,Ü predict wat time ü'll finish buying?,7,predict wat time ull finish buy,6
ham,"Good stuff, will do.",4,good stuff,2
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",46,knowyetunde send money send text bother send involve impose place apologise,11
ham,Are you there in room.,5,room,1
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,27,hey girl hope del bak long time sum time lucyxx,10
ham,K..k:)how much does it cost?,5,cost,1
ham,I'm home.,2,home,1
ham,"Dear, will call Tmorrow.pls accomodate.",5,dear tmorrowpls accomodate,3
ham,First answer my question.,4,answer question,2
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,25,sunshine quiz wkly win dvd player know country algarve txt ansr sptyrone,12
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,28,want lay tonight want real dog location send direct mob join uks large dog network txte gravel,17
ham,I only haf msn. It's yijue@hotmail.com,6,haf msn yijuecom,3
ham,He is there. You call and meet him,8,meet,1
ham,No no. I will check all rooms befor activities,9,check room befor activity,4
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,32,chat svc free hardcore service text age verify network try,10
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,20,get lazy type forgot lect see pouch like nice,9
ham,"K, text me when you're on the way",8,text way,2
ham,"Sir, Waiting for your mail.",5,sir waiting mail,3
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",26,swt think nver tired little thing lovable person cozsomtime little thing occupy big heart gud,15
ham,I know you are. Can you pls open the back?,10,know pls open,3
ham,Yes see ya not on the dot,7,yes dot,2
ham,Whats the staff name who is taking class for us?,10,staff take class,3
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",29,freemsg reply text randy sexy female live local luv hear netcollex ltd msg reply stop end,16
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,15,ummawill check inour life pls pray hard,7
ham,K..i deleted my contact that why?,6,delete contact,2
ham,Sindu got job in birla soft ..,7,sindu get job birla soft,5
ham,The wine is flowing and i'm i have nevering..,9,wine flow nevere,3
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,15,yup thk cine well cos need plaza mah,8
ham,Ok... Ur typical reply...,4,typical reply,2
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,request oru minnaminunginte set callertune caller press copy friend callertune,10
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",80,dirt floor window shirt open mouth comes flow dream world half chore time joy lot show ill guess like thing exist like rain hail mist time,26
ham,Aaooooright are you at work?,5,aaooright work,2
ham,I'm leaving my house now...,5,leave house,2
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",33,hello love interview today happy good boy think meare miss,10
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,19,customer service annoncement new year delivery wait arrange delivery,9
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,27,winner specially select receive cash holiday flight inc speak live operator claim,12
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,24,safe need miss envy see real life,7
ham,New car and house for my parents.:)i have only new job in hand:),13,new car house parentsi new job hand,7
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,19,love excite day spend happy,5
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,24,pls stop bootydelious inviting friend reply stop send stop frnd,10
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",30,bangbabe order way receive service msg download content goto wap bangb mobile internetservice menu,14
ham,I place all ur points on e cultures module already.,10,place point culture module,4
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,27,urgent try contact weekend draw show prize guarantee claim code valid,11
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",13,good way avoid missunderstde wit beloved one,7
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,13,great escape fancy bridge need lag tomo,7
ham,Yes :)it completely in out of form:)clark also utter waste.,10,yes completely formclark utter waste,5
ham,"Sir, I need AXIS BANK account no and bank address.",10,sir need axis bank account bank address,7
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",20,hmm thk sure get time hop ard free abt muz discuss liao,12
ham,What time you coming down later? ,6,time come later,3
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",21,bloody hell believe forget surname ill clue spanish begin,9
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",11,gon finish bath goodfine night,5
ham,Let me know when you've got the money so carlos can make the call,14,let know get money carlo,5
ham,U still going to the mall?,6,go mall,2
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",30,turn friend stay til ltgt feel free ahead smoke ltgt worth,11
ham,Text her. If she doesnt reply let me know so i can have her log in,16,text reply let know log,5
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,25,speak maneesha like know satisfied experience reply toll free yes,10
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,31,lift hope offer money need especially end month approach hurt study anyways weekend,13
ham,Lol no. U can trust me.,6,lol trust,2
ham,ok. I am a gentleman and will treat you with dignity and respect.,13,gentleman treat dignity respect,4
ham,"He will, you guys close?",5,guy close,2
ham,Going on nothing great.bye,4,go greatbye,2
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,32,hello handsome finding job lazy work get net mummy boytoy miss,11
ham,"Haha awesome, be there in a minute",7,haha awesome minute,3
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,24,customer service representative freephone guarantee cash prize,7
ham,Have you got Xmas radio times. If not i will get it now,13,get xmas radio time,4
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,19,jus reach home bathe sis net tell finish,8
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,10,unique find august,3
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,38,join league people touch mean great deal friend time great personal cost great week,14
ham,Hi :)finally i completed the course:),6,finally complete course,3
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,22,stop suggest stay able ors stool,6
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,19,hope settle new school year wishin day,7
ham,Gud mrng dear hav a nice day,7,gud mrng dear hav nice day,6
ham,Did u got that persons story,6,get person story,3
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,14,hamster dead hey tmr meet orchard mrt,7
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,30,evening hope tomorrow bit bloody babyjontet txt,7
ham,"Found it, ENC  &lt;#&gt; , where you at?",8,find enc ltgt,3
ham,I sent you  &lt;#&gt;  bucks,5,send ltgt buck,3
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,18,hello darlin finish college txt finish love kate,8
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,26,account refill successfully inr ltdecimalgt keralacircle prepay account balance ltdecimalgt transaction ltgt,12
ham,Goodmorning sleeping ga.,3,goodmorning sleep,2
ham,U call me alter at 11 ok.,7,alter,1
ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,13,like dat dun buy ericsson oso oredi lar,8
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",32,enter cabin say happy bday boss feel special invite apartment go,11
ham,"Aight yo, dats straight dogg",5,aight dat straight dogg,4
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,13,connection today ltdecimalgt refund bill,5
ham,Both :) i shoot big loads so get ready!,9,shoot big load ready,4
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",14,bruv hope great break rewarding semester,6
ham,Home so we can always chat,6,home chat,2
ham,K:)k:)good:)study well.,2,,0
ham,Yup... How ü noe leh...,5,yup,1
ham,Sounds great! Are you home now?,6,sound great home,3
ham,Finally the match heading towards draw as your prediction.,9,finally match head draw prediction,5
ham,Tired. I haven't slept well the past few nights.,9,tired sleep past night,4
ham,Easy ah?sen got selected means its good..,7,easy ahsen get select mean good,6
ham,I have to take exam with march 3,8,exam march,2
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,35,yeah think use atm register sure help let know sure ready,11
ham,Ok no prob. Take ur time.,6,prob time,2
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,30,call ubandu run instal hard diskyou use copy important file system repair shop,13
ham,"Sorry, I'll call later",4,sorry later,2
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,26,leh course happen lar romantic jus bit lor thk nite scenery nice leh,13
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",21,new mobile txt nokia collect todayfrom,6
ham,Would really appreciate if you call me. Just need someone to talk to.,13,appreciate need talk,3
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",30,meet dream partner soon career flyng start find free txt horo follow star sign horo arie,16
ham,Hey company elama po mudyadhu.,5,hey company elama,3
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",27,life strict teacher bcoz teacher teach lesson amp conduct exam life conduct exam amp teach lesson happy morning,18
ham,Dear good morning now only i am up,8,dear good morning,3
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,20,gandhipuram walk cross cut road right ltgt street road turn right,11
ham,Dear we are going to our rubber place,8,dear go rubber place,4
ham,"Sorry battery died, yeah I'm here",6,sorry battery die yeah,4
ham,Yes:)here tv is always available in work place..,8,yeshere available work place,4
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,34,text meet sexy today find date flirt join reply age sam msg recd penny,14
ham,I have printed it oh. So  &lt;#&gt;  come upstairs,9,print ltgt come upstairs,4
ham,Or ill be a little closer like at the bus stop on the same street,15,ill little close like bus stop street,7
ham,Where are you?when wil you reach here?,7,youwhen,1
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",27,new theory argument win situation lose person argue friend kick amp correct,12
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,25,secret admirer look contact ufind rreveal think specialcall,8
ham,Tomarrow final hearing on my laptop case so i cant.,10,tomarrow final hearing laptop case,5
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,7,pleassee tel avent sportsx,4
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",16,okay shine mean signing sound well,6
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",32,tell dat baig face watch like watch give cos thanx dat uve today touch,14
ham,U don't remember that old commercial?,6,remember old commercial,3
ham,Too late. I said i have the website. I didn't i have or dont have the slippers,17,late say website slipper,4
ham,I asked you to call him now ok,8,ask,1
ham,Kallis wont bat in 2nd innings.,6,innings,1
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,30,work goodnight ill fix ready time wake dearly miss good night sleep,12
